都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011037,0190201723,北海道,札幌市東区,サテライトあおい元町,サテライトアオイモトマチ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市東区北21条東19丁目1－6,,43.090567200000000,141.378764600000000,011-789-9800,011-789-9801,2430001040371,株式会社ソニック,0190201723,,,0,https://aoi-sonic.com/,あり,通常の指定,なし,
011037,0190202168,北海道,札幌市東区,あおい北47条,アオイキタヨンジュウナナジョウ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市東区北47条東3丁目4番10号有料老人ホーム　あおい北47条館,有料老人ホーム　あおい北47条館,43.117676300000000,141.347006200000000,011-733-7005,011-733-7006,2430001040371,株式会社ソニック,0190202168,,,0,https：//aoi-sonic.com,あり,通常の指定,通常の指定,
011037,0190201921,北海道,札幌市東区,ツクイ札幌麻生,ツクイサッポロアサブ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市東区北35条東1丁目5－７,,43.103476300000000,141.347259000000000,011-733-6016,011-733-6036,1020001136162,株式会社ツクイ,0190201921,,連泊して長期宿泊希望する利用者、家族から事業所において住民登録したい旨の申し込みがあった場合には、地域密着型サービスの趣旨並びに該当事業所が入所施設ではないことを事前に説明し、住民登録、居住地として利用できないことを説明し同意を得る。サービス提供にあたっては事前に介護保険対象者及び要介護であることを確認する。,29,http://www.tsukui.net,なし,通常の指定,なし,
011037,0190200949,北海道,札幌市東区,看護小規模多機能型居宅介護絆苗穂通り館,カンゴショウキボタキノウガタキョタクカイゴキズナナエボドオリカン,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市東区伏古5条3丁目4番22号,,43.087393239759464,141.393114042991670,011-788-7771,011-788-7771,9430001061460,株式会社大蔵商事,0190200949,,利用者様の事情により、通いサービス提供時間臨機応変に対応,29,,なし,,,
011037,0190200535,北海道,札幌市東区,複合型サービス事業所　なごみ,フクゴウガタサービスジギョウショ　ナゴミ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市東区東苗穂３条１丁目２－９０東苗穂ナーシングケアセンターひだまり内,東苗穂ナーシングケアセンターひだまり内,43.087784804183620,141.399163826914220,011-787-1331,011-780-6611,2430005001997,社会医療法人豊生会,0190200535,,-,0,http://www.houseikai.or.jp/nagomi/,なし,,,
011037,0190201780,北海道,札幌市東区,勤医協ひがし看護小規模多機能型居宅介護　こもれび,キンイキョウヒガシカンゴショウキボタキノウガタキョタクカイゴ　コモレビ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市東区東苗穂5条1丁目１１の１,,43.090430700000000,141.403419300000000,011-789-3739,011-785-2940,4430005011284,社会福祉法人勤医協福祉会,0190201780,,,0,https://kin-fukushikai.jp/,なし,,,
011045,0190502286,北海道,札幌市白石区,ＳＯＭＰＯケア　札幌川下　看護小規模多機能,ソンポケア　サッポロカワシモ　カンゴショウキボタキノウ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市白石区川下3条6丁目6-1,,43.049672200000000,141.448451999999970,011-871-3310,011-871-3326,1260001015656,ＳＯＭＰＯケア株式会社,0190502286,,※サービス提供日時は、事前に計画作成担当者により計画された居宅サービス計画及び看護小規模多機能居宅介護計画等の利用に係る計画に基づくものとする。,0,https://www.sompocare.com,なし,通常の指定,,
011045,0190501189,北海道,札幌市白石区,看護小規模ホーム　はばたき,カンゴショウキボホ－ム　ハバタキ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市白石区本郷通３丁目南４－１１スピタール南郷丘,スピタール南郷丘,43.046295800000000,141.405564499999970,011-863-6533,011-867-0618,1430001009847,株式会社シムス,0190501189,,,0,http://habataki.co.jp/,なし,,,
011045,0190503102,北海道,札幌市白石区,社会福祉法人ノテ福祉会　看護小規模多機能型居宅介護ノテ北郷,シャカイフクシホウジン　カンゴショウキボタキノウカタキョタクカイゴノテキタゴウ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市白石区北郷1条5丁目４－４８小規模多機能型居宅介護ノテ北郷,小規模多機能型居宅介護ノテ北郷,43.054479699999990,141.416906500000000,011-873-8550,011-873-8185,3430005000585,社会福祉法人ノテ福祉会,0190503102,,,0,,なし,通常の指定,なし,
011045,0190501403,北海道,札幌市白石区,勤医協柏ヶ丘看護小規模多機能型居宅介護　絆,キンイキョウカシワガオカカンゴショウキボタキノウガタキョタクカイゴ　キズナ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市白石区本通7丁目北2番16号,,43.046485000000000,141.416757800000030,011-867-1294,011-866-1294,4430005011284,社会福祉法人勤医協福祉会,0190501403,,,29,https://kin-fukushikai.jp/,なし,通常の指定,なし,
011053,0190502310,北海道,札幌市豊平区,看護小規模ホームせせらぎ,カンゴショウキボホームセセラギ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市豊平区平岸7条13丁目2-8,,43.027465700000000,141.383353299999950,011-833-5776,011-831-0141,0430005001882,医療法人社団NYC,0190502310,,,,https://seseragi-nyc.com,なし,,,
011053,0190501312,北海道,札幌市豊平区,複合型居宅介護　しらかば,フクゴウガタキョタクカイゴ　シラカバ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市豊平区月寒東3条18丁目20番48号サービス付き高齢者向け住宅しらかばの杜　1Ｆ,サービス付き高齢者向け住宅しらかばの杜　1Ｆ,43.018532700000000,141.423642100000050,011-826-5565,011-826-5663,1430005001718,社会医療法人　康和会,0190501312,,訪問看護　基本時間　8：50～16：50,29,,あり,通常の指定,通常の指定,
011053,0190503441,北海道,札幌市豊平区,看護小規模多機能型居宅介護　ノテ月寒,カンゴショウキボタキノウガタキョタクカイゴ　ノテツキサム,看護小規模多機能型居宅介護（複合型サービス）,札幌市豊平区月寒東3条11丁目1‐55,,43.029535000000000,141.414583000000000,011-350-6771,011-350-6772,3430005000585,社会福祉法人ノテ福祉会,0190503441,,,0,https://www.note.or.jp,なし,,,
011053,0190503573,北海道,札幌市豊平区,看護小規模多機能型居宅介護　ノテ中の島,カンゴショウキボタキノウガタキョタクカイゴ　ノテナカノシマ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市豊平区中の島2条5丁目5-1,,43.030697800000000,141.362019700000000,011-376-5808,011-376-5818,3430005000585,社会福祉法人ノテ福祉会,0190503573,,在宅での急変時、夜間２０時～７時は看護師がオンコールにて、必要に応じて訪問している。,0,,なし,通常の指定,なし,
011053,0190501320,北海道,札幌市豊平区,勤医協ひらぎし看護小規模多機能型居宅介護　りんごの里,キンイキョウヒラギシカンゴショウキボタキノウガタキョタクカイゴ　リンゴノサト,看護小規模多機能型居宅介護（複合型サービス）,札幌市豊平区平岸6条12丁目9-25,,43.027238800000000,141.379651100000050,011-820-4073,011-820-4074,4430005011284,社会福祉法人勤医協福祉会,0190501320,,,29,http://kin-fukushikai.jp,なし,通常の指定,なし,
011061,0190503193,北海道,札幌市南区,看護小規模多機能型居宅介護　ノテ真駒内,カンゴショウキボタキノウガタキョタクカイゴ　ノテマコマナイ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市南区真駒内泉町3丁目1番6－2号,,42.988352400000000,141.355502900000000,011-583-8866,011-583-8876,3430005000585,社会福祉法人ノテ福祉会,0190503193,,在宅での急変時、夜間20時～7時は看護師が電話にて対応し、必要に応じて訪問している。,2,https://www.note.or.jp/facilities/details/46,なし,通常の指定,なし,
011061,0190501783,北海道,札幌市南区,看護小規模多機能ステーション真駒内の丘,カンゴショウキボタキノウステーションマコマナイノオカ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市南区真駒内柏丘８丁目７番１号,,42.985414899999990,141.347555999999940,011-584-8686,011-584-7676,9430002041800,有限会社アイ,0190501783,,,29,http://ai-office.jp/makomanai/,なし,,,
011070,0190400853,北海道,札幌市西区,SOMPOケア　札幌発寒　看護小規模多機能,ソンポケア　サッポロハッサム　カンゴショウキボタキノウ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市西区発寒6条４丁目６番３号そんぽの家S　札幌発寒,そんぽの家S　札幌発寒,43.089294700000000,141.292366600000040,011-669-7070,011-669-7075,1260001015656,SOMPOケア株式会社,0190400853,,,0,https://www.sompocare.com/service/zaitaku/kangotakinou/Z000472,なし,通常の指定,なし,
011070,0190401604,北海道,札幌市西区,株式会社BRAVE,カブシキガイシャブレイブ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市西区西野二条5丁目5番1号西野さくら館,西野さくら館,43.077800698709470,141.279045543513700,011-688-6772,011-688-6881,8430001080965,株式会社ＢＲＡＶＥ,0190401604,,,,https://brave25.com/,なし,通常の指定,なし,
011070,0190401513,北海道,札幌市西区,看護小規模多機能型居宅介護アクア八軒,カンゴショウキボタキノウガタキョタクカイゴアクアハチケン,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市西区八軒10条東1丁目1番37号,,43.091416500000000,141.319461500000000,011-738-0668,011-738-0667,1430001046238,株式会社アクア,0190401513,,訪問看護サービス：24時間体制（17時30分～翌8時30分までの時間帯はオンコール対応）,,https://aquagroup-sapporo.com,なし,通常の指定,なし,
011070,0190401018,北海道,札幌市西区,看護小規模多機能型居宅介護はぴねす発寒,カンゴショウキボタキノウカタキョタクカイゴハピネスハッサム,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市西区発寒7条14丁目2-23,,43.098887100000000,141.267472200000000,011-688-7650,011-688-7670,9011001103071,株式会社ビラ・ライフサポート,0190401018,,,0,https://villa-life-support.co.jp/,なし,,,
011088,0190503326,北海道,札幌市厚別区,看護小規模多機能型居宅介護　交雄会あかり厚別,カンゴショウキボタキノウガタキョタクカイゴ　コウユウカイアカリアツベツ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市厚別区大谷地東5丁目7-20,,43.022818244697160,141.459606590663160,011-802-3135,011-802-3136,5430001016443,三井ヘルスサービス株式会社,0190503326,,,,https://www.mitsui-hs.jp/,なし,通常の指定,なし,
011088,0190502278,北海道,札幌市厚別区,ＳＯＭＰＯケア　札幌青葉　看護小規模多機能,ソンポケアサッポロアオバカンゴショウキボタキノウ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市厚別区青葉町13丁目5番40号,,43.033177300000000,141.480022299999970,011-801-3363,011-801-3350,1260001015656,ＳＯＭＰＯケア株式会社,0190502278,,※送迎サービスの提供時間は、午前9時～午後4時までとする。（改行）※サービス提供日時は、事前に計画作成担当者により計画された居宅サービス計画及び看護小規模多機能居宅介護計画等の利用に係る計画に基づくものとする。,0,https://www.sompocare.com,なし,,,
011088,0190503086,北海道,札幌市厚別区,看護小規模多機能型居宅介護　あおい新さっぽろ,カンゴショウキボタキノウガタキョタクカイゴ　アオイシンサッポロ,看護小規模多機能型居宅介護（複合型サービス）,札幌市厚別区厚別東1条2丁目2-15あおい新さっぽろ館,あおい新さっぽろ館,43.040332100000000,141.484386900000000,011-809-1001,011-809-1002,2430001040371,株式会社ソニック,0190503086,,,0,,なし,通常の指定,なし,
011088,0190503300,北海道,札幌市厚別区,看護小規模多機能型居宅介護あおいもみじ台北,カンゴショウキボタキノウガタキョタクカイゴアオイモミジダイキタ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市厚別区もみじ台北6丁目1‐7住宅型有料老人ホームあおいもみじ台北館,住宅型有料老人ホームあおいもみじ台北館,43.034596600000000,141.491576400000000,011-809-3222,011‐809-3223,2430001040371,株式会社ソニック,0190503300,,,0,https://aoi-sonic.com/,なし,通常の指定,なし,
011088,0190503664,北海道,札幌市厚別区,看護小規模多機能型居宅介護新札幌ひばりが丘,カンゴショウキボタキノウガタキョタクカイゴシンサッポロヒバリガオカ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市厚別区厚別中央３条2丁目12番40号社会医療法人貞仁会新札幌ひばりが丘病院ウェルフェアセンター,社会医療法人貞仁会新札幌ひばりが丘病院ウェルフェアセンター,43.035873589485014,141.461282242991640,0118947032,0118947033,6430005001481,社会医療法人貞仁会,0190503664,,３６５日年中無休とし、緊急時及び必要時においては柔軟に通い、訪問及び宿泊サービスを提供する,,https://www.shin-hibarigaoka.jp/kantaki/,なし,通常の指定,なし,
011088,0190503458,北海道,札幌市厚別区,看護小規模多機能型居宅介護ノテ新さっぽろ,カンゴショウキボタキノウガタキョタクカイゴノテシンサッポロ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市厚別区上野幌1条1丁目2-28,,43.023511100000000,141.467794700000000,011-375-1355,011-375-1360,3430005000585,社会福祉法人ノテ福祉会,0190503458,,,0,https://www.note.or.jp/facilities/zaitaku/kango-shotaki/kango-syotaki-note-shinsapporo/,なし,通常の指定,なし,
011088,0190502609,北海道,札幌市厚別区,看護小規模多機能型居宅介護事業所レガートひばりが丘,カンゴショウキボタキノウガタキョタクカイゴジギョウショレガートヒバリガオカ,看護小規模多機能型居宅介護（複合型サービス）,厚別南２丁目２－２７有料老人ホームカペラひばりが丘,有料老人ホームカペラひばりが丘,43.031127179953970,141.466550131877170,011－887-7734,011－887-8140,3430005001476,医療法人重仁会,0190502609,,,0,http://www.ohyachi-hp.or.jp/,なし,,,
011096,0190401406,北海道,札幌市手稲区,看護小規模多機能型居宅介護我が家　手稲,カンゴショウキボタキノウガタキョタクカイゴワガヤテイネ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市手稲区前田５条１５丁目７－２０,,43.131883500000000,141.242024100000000,011-676-9573,011-676-9574,3430003001973,ＨＴＣ株式会社,0190401406,,,0,https://www.htc-wgy.co.jp,なし,通常の指定,なし,
011096,0190400622,北海道,札幌市手稲区,看護小規模多機能型居宅介護事業所　エオス,カンゴショウキボタキノウガタキョタクカイゴジギョウショエオス,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市手稲区曙5条3丁目3番5号サービス付き高齢者向け住宅　アリアーテ,サービス付き高齢者向け住宅　アリアーテ,43.132388577804875,141.231964014155550,011-691-7678,011-215-5377,1430001068190,株式会社カンフィケアリサーチ,0190400622,,通い及び宿泊サービスの営業時間については、利用者の心身の状況・希望及びそのおかれている環境をふまえて、柔軟に対応するものとする。,24,,なし,,,
011096,0190401687,北海道,札幌市手稲区,あおい星置,アオイホシオキ,看護小規模多機能型居宅介護（複合型サービス）,札幌市手稲区星置3条１丁目2番45号,,43.138219900000000,141.218119300000000,011-686-8778,011-686-8777,2430001040371,株式会社ソニック,0190401687,,,0,http://aoi-sonic.com,なし,通常の指定,なし,
011096,0190401117,北海道,札幌市手稲区,勤医協看護小規模多機能型居宅介護　結,キンイキョウカンゴショウキボタキノウガタキョタクカイゴ　ユイ,看護小規模多機能型居宅介護（複合型サービス）,札幌市手稲区新発寒6条3丁目９番3号,,43.117273200000000,141.279097500000000,011-699-1513,011-699-1517,4430005011284,社会福祉法人勤医協福祉会,0190401117,,利用者及び家族の希望や必要性も踏まえて、可能な限りサービスの時間延長等について柔軟に対応します。,0,htpps：//kin-fukushikai.jp/,なし,通常の指定,なし,
011100,0190503268,北海道,札幌市清田区,看護小規模多機能型居宅介護　ノテ北野,カンゴショウキボタキノウガタキョタクカイゴ　ノテキタノ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市清田区北野7条2丁目9-1,,43.023587200000000,141.437958300000000,011-886-6622,011-886-6610,3430005000585,社会福祉法人ノテ福祉会,0190503268,,在宅での急変時、夜間20時～7時は看護師がオンコールにて対応し、必要に応じて訪問している。,0,,なし,通常の指定,なし,
012025,0191400423,北海道,函館市,複合型サービス恵,フクゴウガタサービスメグミ,看護小規模多機能型居宅介護（複合型サービス）,北海道函館市川上町457番地1複合施設　恵,複合施設　恵,41.764501300000056,141.069158400000000,0138-84-2383,0138-84-2384,4440001006964,株式会社ＫＧぷらす,0191400423,,,25,,なし,,,
012025,0191400852,北海道,函館市,看護小規模多機能型居宅介護事業所ひよしわとな,カンゴショウキボタキノウガタキョタクカイゴジギョウショヒヨシワトナ,看護小規模多機能型居宅介護（複合型サービス）,北海道函館市日吉４丁目12－18看護小規模多機能型居宅介護事業所　ひよし　わとな,看護小規模多機能型居宅介護事業所　ひよし　わとな,41.806077900000000,140.790432199999940,0138-52-1522,0138-52-1511,3440002005999,有限会社ウィズ,0191400852,,,,http://watonawith.com,なし,,,
012025,0191400969,北海道,函館市,SOMPOケア　函館昭和　看護小規模多機能,ソンポケア　ハコダテショウワ　カンゴショウキボタキノウ,看護小規模多機能型居宅介護（複合型サービス）,北海道函館市昭和４丁目30番35号,,41.816685800000000,140.731966400000030,0138-44-5800,0138-43-0526,1260001015656,ＳＯＭＰＯケア株式会社,0191400969,,ただし、通い送迎提供時間は午前９時～午後６時までとさせていただきます。（改行）突発的なご利用の際は状況に応じ、対応させていただきます。,29,https://www.sompocare.com/service/zaitaku/kangotakinou/Z000460,なし,通常の指定,なし,
012025,0191400548,北海道,函館市,複合型サービス事業所谷地頭緑蔭園,フクゴウガタサービスジギョウショヤチガシラリョクインエン,看護小規模多機能型居宅介護（複合型サービス）,北海道函館市谷地頭町23-5,,41.754493800000010,140.715518199999960,0138-26-7772,0138-26-7773,7440005002370,社会福祉法人純心福祉会,0191400548,,特になし。,29,http://www.js-fukushikai,なし,通常の指定,なし,
012033,0192000263,北海道,小樽市,看護小規模多機能型ホームアイケアぜに函,カンゴショウキボタキノウガタホームアイケアゼニバコ,看護小規模多機能型居宅介護（複合型サービス）,北海道小樽市銭函2丁目7番28号,,43.141430700000000,141.160412299999960,0134-64-5335,0134-64-5380,2430002040453,株式会社アイケア北海道,0192000263,,,0,http://icare-g.jp/,なし,通常の指定,,
012033,0192000198,北海道,小樽市,看多機　アイケア奥沢口,カンタキ　アイケアオクサワグチ,看護小規模多機能型居宅介護（複合型サービス）,北海道小樽市奥沢1丁目16番2号,,43.182643299999995,141.006444800000050,0134-22-0370,0134-32-7651,2430002040453,株式会社アイケア北海道,0192000198,,宿泊サービス利用者がいない場合は、自宅待機にて対応。,29,http://www.icare-g.com/,なし,通常の指定,なし,
012033,0192000552,北海道,小樽市,看多機　アイケア花園,カンタキ　アイケアハナゾノ,看護小規模多機能型居宅介護（複合型サービス）,北海道小樽市花園4丁目5-16,,43.189387116598090,140.998812959481140,0134-61-1460,0134-61-1461,2430002040453,株式会社アイケア北海道,0192000552,,,29,http://www.icare-g.com,なし,通常の指定,なし,
012041,0192902856,北海道,旭川市,ナーシングマルチケアはる風,ナーシングマルチケアハルカゼ,看護小規模多機能型居宅介護（複合型サービス）,北海道旭川市忠和３条７丁目３番１７号,,43.774796900000000,142.325675700000000,0166-73-8085,0166-73-7507,8450001005631,株式会社ナショナルスタッフセンター,0192902856,,,0,http://www.nsc-3530.jp/,なし,,,
012041,0192902831,北海道,旭川市,看護小規模多機能型ホームアミューズ旭岡,カンゴショウキボタキノウガタホウムアミュウズアサヒガオカ,看護小規模多機能型居宅介護（複合型サービス）,北海道旭川市旭岡５丁目４－２０,,43.798049135371194,142.324389033729570,0166-73-3860,0166-73-3861,9450001010168,株式会社アミューズケア,0192902831,,,,amuse-care.com,あり,通常の指定,なし,
012041,0192902898,北海道,旭川市,看護小規模多機能型居宅介護なかま,カンゴショウキボタキノウガタキョタクカイゴナカマ,看護小規模多機能型居宅介護（複合型サービス）,北海道旭川市神楽3条4丁目2-14,,43.762264900000000,142.348223200000000,0166-73-4165,0166-73-4166,4450005000509,社会医療法人道北勤労者医療協会,0192902898,,なし,29,,なし,通常の指定,,
012050,0193500287,北海道,室蘭市,看護小規模多機能型居宅介護つむぎ,カンゴショウキボタキノウガタキョタクカイゴツムギ,看護小規模多機能型居宅介護（複合型サービス）,北海道室蘭市東町5丁目3番5号,,42.341638100000000,141.022734500000000,0143-84-5205,0143-84-5206,9430005009869,社会医療法人母恋,0193500287,,「泊まり」がいる場合は夜勤者を1名配置。（改行）夜間緊急時訪問での対応で、待機を介護職・看護職を1名ずつ配置。,4,https://www.bokoi.jp/kantaki_tsumugi/,なし,通常の指定,なし,
012068,0194100327,北海道,釧路市,看護小規模多機能型介護こまば,カンゴショウキボタキノウガタカイゴコマバ,看護小規模多機能型居宅介護（複合型サービス）,釧路市駒場町3番24号看護小規模多機能型介護　こまば,看護小規模多機能型介護　こまば,43.000198730048304,144.367066123364220,0154-31-0066,0154-31-0067,8460001004558,株式会社カインド,0194100327,,送迎対応時間は8時から18時まで。家族送迎が可能であれば、家族の都合に合わせ早朝から夜間遅くまで通いサービスが受けられます。,0,http://www.komaba946.com/,なし,,,
012068,0194100509,北海道,釧路市,道東勤医協看護小規模多機能型居宅介護すこやか,ドウトウキンイキョウカンゴショウキボタキノウガタキョタクカイゴスコヤカ,看護小規模多機能型居宅介護（複合型サービス）,北海道L釧路市治水町３番14号釧路協立病院４階,釧路協立病院４階,43.008474000000000,144.371483000000000,0154-24-8404,0154-24-7965,2460005000393,社会医療法人道東勤労者医療協会,0194100509,,サービスを受ける際には、医師の診断や日常生活上の留意事項、利用当日の健康状態等を当事業所にお伝え下さい。他の利用者との共同利用の秩序を保ち、相互の親睦にお努め下さい。飲酒、喫煙はできません。現金や貴重品は事業所では管理いたしません。現金や貴重品の管理は自身の責任において行って下さい。,0,http://www.dotokin-medwel.jp/,なし,通常の指定,なし,
012076,0194600128,北海道,帯広市,看護小規模多機能型居宅介護あんさんぶる開西,カンゴショウキボタキノウガタキョタクカイゴアンサンブルカイセイ,看護小規模多機能型居宅介護（複合型サービス）,北海道帯広市西２３条南３丁目２７ー４,,42.913070100000000,143.130989799999950,0155-58-2000,0155-58-2001,8460105000362,社会医療法人博愛会,0194600128,,,0,http://www.ansanburu.org/,なし,通常の指定,なし,
